Date,Upload Date,Channel,Video,Views
2021-04-15,2009-10-02,Carrie Underwood,Wasted,30095597
2021-04-15,2009-10-02,Carrie Underwood,So Small,31979054
2021-04-15,2009-10-02,Carrie Underwood,All-American Girl,35254109
2021-04-15,2009-10-02,Carrie Underwood,Last Name,26682112
2021-04-15,2009-10-02,Carrie Underwood,Just A Dream,85793215
2021-04-15,2017-12-04,Carrie Underwood,I Told You So,2599341
2021-04-15,2009-11-14,Carrie Underwood,Cowboy Casanova,37820185
2021-04-15,2010-01-20,Carrie Underwood,Temporary Home,45639898
2021-04-15,2010-05-11,Carrie Underwood,Undo It,14102133
2021-04-15,2010-09-23,Carrie Underwood,Mama's Song,52392903
2021-04-15,2011-07-28,Brad Paisley,Remind Me,136945908
2021-04-15,2012-03-12,Carrie Underwood,Good Girl,38014253
2021-04-15,2012-08-01,Carrie Underwood,Blown Away,50559746
2021-04-15,2013-01-23,Carrie Underwood,Two Black Cadillacs,48504932
2021-04-15,2013-06-07,Carrie Underwood,See You Again,46910010
2021-04-15,2014-06-26,Miranda Lambert,Somethin' Bad,127830066
2021-04-15,2014-11-06,Carrie Underwood,Something in the Water,32929025
2021-04-15,2015-01-31,Carrie Underwood,Little Toy Guns,21643540
2021-04-15,2015-08-25,Carrie Underwood,Smoke Break,19759715
2021-04-15,2015-12-02,Carrie Underwood,Heartbeat,22248314
2021-04-15,2016-05-12,Carrie Underwood,Church Bells,50257957
2021-04-15,2016-10-13,Carrie Underwood,Dirty Laundry,39502192
2021-04-15,2018-05-06,Carrie Underwood,Cry Pretty,20620907
2021-04-15,2018-09-11,Carrie Underwood,Love Wins,14116134
2021-04-15,2019-06-07,Carrie Underwood,Southbound,17051908
2021-04-15,2019-11-20,Carrie Underwood,Drinking Alone,13861225
2021-04-15,2020-11-20,Carrie Underwood,Hallelujah,6313134
2021-04-15,2021-04-05,Carrie Underwood,How Great Thou Art,320637
2021-04-15,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,132353
2021-04-16,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70853807
2021-04-16,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21727861
2021-04-16,2009-10-02,Carrie Underwood,Before He Cheats,134801430
2021-04-16,2009-10-02,Carrie Underwood,Wasted,30097996
2021-04-16,2009-10-02,Carrie Underwood,So Small,31980984
2021-04-16,2009-10-02,Carrie Underwood,All-American Girl,35257428
2021-04-16,2009-10-02,Carrie Underwood,Last Name,26685807
2021-04-16,2009-10-02,Carrie Underwood,Just A Dream,85800789
2021-04-16,2017-12-04,Carrie Underwood,I Told You So,2601866
2021-04-16,2009-11-14,Carrie Underwood,Cowboy Casanova,37825418
2021-04-16,2010-01-20,Carrie Underwood,Temporary Home,45649581
2021-04-16,2010-05-11,Carrie Underwood,Undo It,14104293
2021-04-16,2010-09-23,Carrie Underwood,Mama's Song,52400808
2021-04-16,2011-07-28,Brad Paisley,Remind Me,136969642
2021-04-16,2012-03-12,Carrie Underwood,Good Girl,38020665
2021-04-16,2012-08-01,Carrie Underwood,Blown Away,50568635
2021-04-16,2013-01-23,Carrie Underwood,Two Black Cadillacs,48519485
2021-04-16,2013-06-07,Carrie Underwood,See You Again,46914220
2021-04-16,2014-06-26,Miranda Lambert,Somethin' Bad,127868063
2021-04-16,2014-11-06,Carrie Underwood,Something in the Water,32934024
2021-04-16,2015-01-31,Carrie Underwood,Little Toy Guns,21646961
2021-04-16,2015-08-25,Carrie Underwood,Smoke Break,19761419
2021-04-16,2015-12-02,Carrie Underwood,Heartbeat,22250813
2021-04-16,2016-05-12,Carrie Underwood,Church Bells,50267798
2021-04-16,2016-10-13,Carrie Underwood,Dirty Laundry,39508748
2021-04-16,2018-05-06,Carrie Underwood,Cry Pretty,20623844
2021-04-16,2018-09-11,Carrie Underwood,Love Wins,14119678
2021-04-16,2019-06-07,Carrie Underwood,Southbound,17057442
2021-04-16,2019-11-20,Carrie Underwood,Drinking Alone,13870639
2021-04-16,2020-11-20,Carrie Underwood,Hallelujah,6323348
2021-04-16,2020-12-03,David Bisbal,Tears Of Gold,5575964
2021-04-16,2021-04-05,Carrie Underwood,How Great Thou Art,339242
2021-04-16,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,137293
2021-04-17,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70878603
2021-04-17,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21730234
2021-04-17,2009-10-02,Carrie Underwood,Before He Cheats,134837062
2021-04-17,2009-10-02,Carrie Underwood,Wasted,30100878
2021-04-17,2009-10-02,Carrie Underwood,So Small,31983493
2021-04-17,2009-10-02,Carrie Underwood,All-American Girl,35261563
2021-04-17,2009-10-02,Carrie Underwood,Last Name,26690024
2021-04-17,2009-10-02,Carrie Underwood,Just A Dream,85808965
2021-04-17,2017-12-04,Carrie Underwood,I Told You So,2605453
2021-04-17,2009-11-14,Carrie Underwood,Cowboy Casanova,37830910
2021-04-17,2010-01-20,Carrie Underwood,Temporary Home,45660145
2021-04-17,2010-05-11,Carrie Underwood,Undo It,14106770
2021-04-17,2010-09-23,Carrie Underwood,Mama's Song,52409371
2021-04-17,2011-07-28,Brad Paisley,Remind Me,136998564
2021-04-17,2012-03-12,Carrie Underwood,Good Girl,38027169
2021-04-17,2012-08-01,Carrie Underwood,Blown Away,50579278
2021-04-17,2013-01-23,Carrie Underwood,Two Black Cadillacs,48534224
2021-04-17,2013-06-07,Carrie Underwood,See You Again,46919448
2021-04-17,2014-06-26,Miranda Lambert,Somethin' Bad,127916898
2021-04-17,2014-11-06,Carrie Underwood,Something in the Water,32939266
2021-04-17,2015-01-31,Carrie Underwood,Little Toy Guns,21651886
2021-04-17,2015-08-25,Carrie Underwood,Smoke Break,19763375
2021-04-17,2015-12-02,Carrie Underwood,Heartbeat,22253509
2021-04-17,2016-05-12,Carrie Underwood,Church Bells,50279887
2021-04-17,2016-10-13,Carrie Underwood,Dirty Laundry,39516457
2021-04-17,2018-05-06,Carrie Underwood,Cry Pretty,20627570
2021-04-17,2018-09-11,Carrie Underwood,Love Wins,14123822
2021-04-17,2019-06-07,Carrie Underwood,Southbound,17063642
2021-04-17,2019-11-20,Carrie Underwood,Drinking Alone,13882289
2021-04-17,2020-11-20,Carrie Underwood,Hallelujah,6335069
2021-04-17,2020-12-03,David Bisbal,Tears Of Gold,5621024
2021-04-17,2021-04-05,Carrie Underwood,How Great Thou Art,359230
2021-04-17,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,142564
2021-04-18,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70902363
2021-04-18,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21732178
2021-04-18,2009-10-02,Carrie Underwood,Before He Cheats,134864908
2021-04-18,2009-10-02,Carrie Underwood,Wasted,30103151
2021-04-18,2009-10-02,Carrie Underwood,So Small,31985203
2021-04-18,2009-10-02,Carrie Underwood,All-American Girl,35264664
2021-04-18,2009-10-02,Carrie Underwood,Last Name,26693282
2021-04-18,2009-10-02,Carrie Underwood,Just A Dream,85815332
2021-04-18,2017-12-04,Carrie Underwood,I Told You So,2608567
2021-04-18,2009-11-14,Carrie Underwood,Cowboy Casanova,37835462
2021-04-18,2010-01-20,Carrie Underwood,Temporary Home,45668454
2021-04-18,2010-05-11,Carrie Underwood,Undo It,14108864
2021-04-18,2010-09-23,Carrie Underwood,Mama's Song,52416646
2021-04-18,2011-07-28,Brad Paisley,Remind Me,137022603
2021-04-18,2012-03-12,Carrie Underwood,Good Girl,38032398
2021-04-18,2012-08-01,Carrie Underwood,Blown Away,50587748
2021-04-18,2013-01-23,Carrie Underwood,Two Black Cadillacs,48546250
2021-04-18,2013-06-07,Carrie Underwood,See You Again,46923297
2021-04-18,2014-06-26,Miranda Lambert,Somethin' Bad,127956479
2021-04-18,2014-11-06,Carrie Underwood,Something in the Water,32943396
2021-04-18,2015-01-31,Carrie Underwood,Little Toy Guns,21655089
2021-04-18,2015-08-25,Carrie Underwood,Smoke Break,19764789
2021-04-18,2015-12-02,Carrie Underwood,Heartbeat,22255505
2021-04-18,2016-05-12,Carrie Underwood,Church Bells,50289771
2021-04-18,2016-10-13,Carrie Underwood,Dirty Laundry,39522484
2021-04-18,2018-05-06,Carrie Underwood,Cry Pretty,20630238
2021-04-18,2018-09-11,Carrie Underwood,Love Wins,14127006
2021-04-18,2019-06-07,Carrie Underwood,Southbound,17068598
2021-04-18,2019-11-20,Carrie Underwood,Drinking Alone,13891513
2021-04-18,2020-11-20,Carrie Underwood,Hallelujah,6346108
2021-04-18,2020-12-03,David Bisbal,Tears Of Gold,5652907
2021-04-18,2021-04-05,Carrie Underwood,How Great Thou Art,378739
2021-04-18,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,147601
2021-04-19,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70928670
2021-04-19,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21735032
2021-04-19,2009-10-02,Carrie Underwood,Before He Cheats,134897319
2021-04-19,2009-10-02,Carrie Underwood,Wasted,30106470
2021-04-19,2009-10-02,Carrie Underwood,So Small,31987853
2021-04-19,2009-10-02,Carrie Underwood,All-American Girl,35269260
2021-04-19,2009-10-02,Carrie Underwood,Last Name,26697715
2021-04-19,2009-10-02,Carrie Underwood,Just A Dream,85824022
2021-04-19,2017-12-04,Carrie Underwood,I Told You So,2612663
2021-04-19,2009-11-14,Carrie Underwood,Cowboy Casanova,37841157
2021-04-19,2010-01-20,Carrie Underwood,Temporary Home,45680344
2021-04-19,2010-05-11,Carrie Underwood,Undo It,14111636
2021-04-19,2010-09-23,Carrie Underwood,Mama's Song,52426893
2021-04-19,2011-07-28,Brad Paisley,Remind Me,137051090
2021-04-19,2012-03-12,Carrie Underwood,Good Girl,38039678
2021-04-19,2012-08-01,Carrie Underwood,Blown Away,50598342
2021-04-19,2013-01-23,Carrie Underwood,Two Black Cadillacs,48563048
2021-04-19,2013-06-07,Carrie Underwood,See You Again,46928454
2021-04-19,2014-06-26,Miranda Lambert,Somethin' Bad,128006076
2021-04-19,2014-11-06,Carrie Underwood,Something in the Water,32949438
2021-04-19,2015-01-31,Carrie Underwood,Little Toy Guns,21660274
2021-04-19,2015-08-25,Carrie Underwood,Smoke Break,19766523
2021-04-19,2015-12-02,Carrie Underwood,Heartbeat,22258498
2021-04-19,2016-05-12,Carrie Underwood,Church Bells,50301971
2021-04-19,2016-10-13,Carrie Underwood,Dirty Laundry,39530394
2021-04-19,2018-05-06,Carrie Underwood,Cry Pretty,20634332
2021-04-19,2018-09-11,Carrie Underwood,Love Wins,14131520
2021-04-19,2019-06-07,Carrie Underwood,Southbound,17074623
2021-04-19,2019-11-20,Carrie Underwood,Drinking Alone,13903164
2021-04-19,2020-11-20,Carrie Underwood,Hallelujah,6368503
2021-04-19,2020-12-03,David Bisbal,Tears Of Gold,5682244
2021-04-19,2021-04-05,Carrie Underwood,How Great Thou Art,425387
2021-04-19,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,157117
2021-04-20,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70950122
2021-04-20,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21737486
2021-04-20,2009-10-02,Carrie Underwood,Before He Cheats,134921110
2021-04-20,2009-10-02,Carrie Underwood,Wasted,30108877
2021-04-20,2009-10-02,Carrie Underwood,So Small,31990090
2021-04-20,2009-10-02,Carrie Underwood,All-American Girl,35272814
2021-04-20,2009-10-02,Carrie Underwood,Last Name,26701075
2021-04-20,2009-10-02,Carrie Underwood,Just A Dream,85830937
2021-04-20,2017-12-04,Carrie Underwood,I Told You So,2616040
2021-04-20,2009-11-14,Carrie Underwood,Cowboy Casanova,37845535
2021-04-20,2010-01-20,Carrie Underwood,Temporary Home,45687956
2021-04-20,2010-05-11,Carrie Underwood,Undo It,14113915
2021-04-20,2010-09-23,Carrie Underwood,Mama's Song,52434508
2021-04-20,2011-07-28,Brad Paisley,Remind Me,137074495
2021-04-20,2012-03-12,Carrie Underwood,Good Girl,38045572
2021-04-20,2012-08-01,Carrie Underwood,Blown Away,50605735
2021-04-20,2013-01-23,Carrie Underwood,Two Black Cadillacs,48576116
2021-04-20,2013-06-07,Carrie Underwood,See You Again,46932625
2021-04-20,2014-06-26,Miranda Lambert,Somethin' Bad,128041310
2021-04-20,2014-11-06,Carrie Underwood,Something in the Water,32954296
2021-04-20,2015-01-31,Carrie Underwood,Little Toy Guns,21663906
2021-04-20,2015-08-25,Carrie Underwood,Smoke Break,19768087
2021-04-20,2015-12-02,Carrie Underwood,Heartbeat,22260699
2021-04-20,2016-05-12,Carrie Underwood,Church Bells,50310988
2021-04-20,2016-10-13,Carrie Underwood,Dirty Laundry,39536256
2021-04-20,2018-05-06,Carrie Underwood,Cry Pretty,20637319
2021-04-20,2018-09-11,Carrie Underwood,Love Wins,14135129
2021-04-20,2019-06-07,Carrie Underwood,Southbound,17079120
2021-04-20,2019-11-20,Carrie Underwood,Drinking Alone,13910974
2021-04-20,2020-11-20,Carrie Underwood,Hallelujah,6389247
2021-04-20,2020-12-03,David Bisbal,Tears Of Gold,5703803
2021-04-20,2021-04-05,Carrie Underwood,How Great Thou Art,455963
2021-04-20,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,165077
2021-04-21,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70976453
2021-04-21,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21740475
2021-04-21,2009-10-02,Carrie Underwood,Before He Cheats,134952454
2021-04-21,2009-10-02,Carrie Underwood,Wasted,30111997
2021-04-21,2009-10-02,Carrie Underwood,So Small,31993178
2021-04-21,2009-10-02,Carrie Underwood,All-American Girl,35277355
2021-04-21,2009-10-02,Carrie Underwood,Last Name,26705286
2021-04-21,2009-10-02,Carrie Underwood,Just A Dream,85840242
2021-04-21,2017-12-04,Carrie Underwood,I Told You So,2619816
2021-04-21,2009-11-14,Carrie Underwood,Cowboy Casanova,37851457
2021-04-21,2010-01-20,Carrie Underwood,Temporary Home,45696348
2021-04-21,2010-05-11,Carrie Underwood,Undo It,14116920
2021-04-21,2010-09-23,Carrie Underwood,Mama's Song,52444627
2021-04-21,2011-07-28,Brad Paisley,Remind Me,137104425
2021-04-21,2012-03-12,Carrie Underwood,Good Girl,38053977
2021-04-21,2012-08-01,Carrie Underwood,Blown Away,50615372
2021-04-21,2013-01-23,Carrie Underwood,Two Black Cadillacs,48591399
2021-04-21,2013-06-07,Carrie Underwood,See You Again,46938111
2021-04-21,2014-06-26,Miranda Lambert,Somethin' Bad,128088544
2021-04-21,2014-11-06,Carrie Underwood,Something in the Water,32960637
2021-04-21,2015-01-31,Carrie Underwood,Little Toy Guns,21668385
2021-04-21,2015-08-25,Carrie Underwood,Smoke Break,19769979
2021-04-21,2015-12-02,Carrie Underwood,Heartbeat,22263701
2021-04-21,2016-05-12,Carrie Underwood,Church Bells,50323015
2021-04-21,2016-10-13,Carrie Underwood,Dirty Laundry,39544306
2021-04-21,2018-05-06,Carrie Underwood,Cry Pretty,20641089
2021-04-21,2018-09-11,Carrie Underwood,Love Wins,14139474
2021-04-21,2019-06-07,Carrie Underwood,Southbound,17084746
2021-04-21,2019-11-20,Carrie Underwood,Drinking Alone,13922041
2021-04-21,2020-11-20,Carrie Underwood,Hallelujah,6414285
2021-04-21,2020-12-03,David Bisbal,Tears Of Gold,5727762
2021-04-21,2021-04-05,Carrie Underwood,How Great Thou Art,488990
2021-04-21,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,174086
2021-04-22,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",71000405
2021-04-22,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21743431
2021-04-22,2009-10-02,Carrie Underwood,Before He Cheats,134980055
2021-04-22,2009-10-02,Carrie Underwood,Wasted,30114691
2021-04-22,2009-10-02,Carrie Underwood,So Small,31995716
2021-04-22,2009-10-02,Carrie Underwood,All-American Girl,35281278
2021-04-22,2009-10-02,Carrie Underwood,Last Name,26708871
2021-04-22,2009-10-02,Carrie Underwood,Just A Dream,85848193
2021-04-22,2017-12-04,Carrie Underwood,I Told You So,2622989
2021-04-22,2009-11-14,Carrie Underwood,Cowboy Casanova,37856409
2021-04-22,2010-01-20,Carrie Underwood,Temporary Home,45703894
2021-04-22,2010-05-11,Carrie Underwood,Undo It,14119556
2021-04-22,2010-09-23,Carrie Underwood,Mama's Song,52453418
2021-04-22,2011-07-28,Brad Paisley,Remind Me,137131913
2021-04-22,2012-03-12,Carrie Underwood,Good Girl,38061256
2021-04-22,2012-08-01,Carrie Underwood,Blown Away,50623613
2021-04-22,2013-01-23,Carrie Underwood,Two Black Cadillacs,48605206
2021-04-22,2013-06-07,Carrie Underwood,See You Again,46943075
2021-04-22,2014-06-26,Miranda Lambert,Somethin' Bad,128128263
2021-04-22,2014-11-06,Carrie Underwood,Something in the Water,32965959
2021-04-22,2015-01-31,Carrie Underwood,Little Toy Guns,21672634
2021-04-22,2015-08-25,Carrie Underwood,Smoke Break,19771422
2021-04-22,2015-12-02,Carrie Underwood,Heartbeat,22266174
2021-04-22,2016-05-12,Carrie Underwood,Church Bells,50333194
2021-04-22,2016-10-13,Carrie Underwood,Dirty Laundry,39550805
2021-04-22,2018-05-06,Carrie Underwood,Cry Pretty,20644504
2021-04-22,2018-09-11,Carrie Underwood,Love Wins,14143568
2021-04-22,2019-06-07,Carrie Underwood,Southbound,17090009
2021-04-22,2019-11-20,Carrie Underwood,Drinking Alone,13931440
2021-04-22,2020-11-20,Carrie Underwood,Hallelujah,6432893
2021-04-22,2020-12-03,David Bisbal,Tears Of Gold,5749107
2021-04-22,2021-04-05,Carrie Underwood,How Great Thou Art,511333
2021-04-22,2021-04-05,Carrie Underwood,Nothing But The Blood Of Jesus,180916
2021-04-23,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",71022489
2021-04-23,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21745638
2021-04-23,2009-10-02,Carrie Underwood,Before He Cheats,135006978
2021-04-23,2009-10-02,Carrie Underwood,Wasted,30117351
2021-04-23,2009-10-02,Carrie Underwood,So Small,31998001
2021-04-23,2009-10-02,Carrie Underwood,All-American Girl,35285064
2021-04-23,2009-10-02,Carrie Underwood,Last Name,26712591
2021-04-23,2009-10-02,Carrie Underwood,Just A Dream,85856249
2021-04-23,2017-12-04,Carrie Underwood,I Told You So,2626158
2021-04-23,2009-11-14,Carrie Underwood,Cowboy Casanova,37861296
2021-04-23,2010-01-20,Carrie Underwood,Temporary Home,45710563
2021-04-23,2010-05-11,Carrie Underwood,Undo It,14122242
2021-04-23,2010-09-23,Carrie Underwood,Mama's Song,52461084
